Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/11/2019,12:00 PM - 12:59 PM,3,245.72,13
6/11/2019,5:00 PM - 5:59 PM,3,153.39,6
6/11/2019,6:00 PM - 6:59 PM,3,320.21,10
6/11/2019,9:00 PM - 9:59 PM,3,197.64,8
6/11/2019,9:00 AM - 9:59 AM,3,7.38,0
6/11/2019,10:00 AM - 10:59 AM,3,13.27,5
6/11/2019,11:00 AM - 11:59 AM,3,253.53,13
6/11/2019,1:00 PM - 1:59 PM,3,170.54,18
6/11/2019,3:00 PM - 3:59 PM,3,-50.07,2
6/11/2019,4:00 PM - 4:59 PM,3,160.21,9
6/11/2019,6:00 PM - 6:59 PM,3,213.6,13
6/11/2019,7:00 PM - 7:59 PM,3,600.13,28
6/11/2019,8:00 AM - 8:59 AM,3,46.63,8
6/11/2019,11:00 AM - 11:59 AM,3,60.42,5
6/11/2019,2:00 PM - 2:59 PM,3,30.39,4
6/11/2019,7:00 PM - 7:59 PM,3,634.64,22
6/11/2019,8:00 PM - 8:59 PM,3,209.21,9
6/11/2019,9:00 PM - 9:59 PM,3,167.75,12
6/11/2019,9:00 PM - 9:59 PM,3,214.5,10
6/11/2019,10:00 PM - 10:59 PM,3,-57.68,0
6/12/2019,8:00 AM - 8:59 AM,3,71.9,7
6/12/2019,8:00 AM - 8:59 AM,3,0,0
6/12/2019,9:00 AM - 9:59 AM,3,56.91,2
6/12/2019,5:00 PM - 5:59 PM,3,158.53,13
6/12/2019,7:00 PM - 7:59 PM,3,281.93,19
6/12/2019,10:00 PM - 10:59 PM,3,21.5,0
6/12/2019,10:00 PM - 10:59 PM,3,26,2
6/12/2019,9:00 AM - 9:59 AM,3,-17.63,2
6/12/2019,5:00 PM - 5:59 PM,3,222.68,16
6/12/2019,9:00 PM - 9:59 PM,3,54.77,5
6/12/2019,10:00 PM - 10:59 PM,3,38,3
6/12/2019,10:00 PM - 10:59 PM,3,3.01,0
6/12/2019,7:00 AM - 7:59 AM,3,44.93,2
6/12/2019,6:00 PM - 6:59 PM,3,254.86,13
6/12/2019,11:00 PM - 11:59 PM,3,0,0
6/12/2019,7:00 AM - 7:59 AM,3,41.84,3
6/12/2019,8:00 AM - 8:59 AM,3,30.65,3
6/12/2019,8:00 AM - 8:59 AM,3,38.85,3
6/12/2019,5:00 PM - 5:59 PM,3,455.23,25
6/12/2019,7:00 PM - 7:59 PM,3,483.62,20
